ID;DOCID;BEGINTIME;ENDTIME;SHIFTDATE;ENABLED
400637;511;0.541667;0.555556;44365;1
400639;511;0.791667;0.805556;44365;1
400640;511;0.625;0.631944;44366;1
400641;511;0.541667;0.555556;44366;1
400642;511;0.291667;0.305556;44366;1
400643;511;0.291667;0.305556;44368;1
400644;511;0.541667;0.555556;44368;1
400645;511;0.791667;0.805556;44368;1
400646;511;0.791667;0.805556;44369;1
400647;511;0.541667;0.555556;44369;1
400648;511;0.291667;0.305556;44369;1
400649;511;0.291667;0.305556;44370;1
400650;511;0.541667;0.555556;44370;1
400651;511;0.791667;0.805556;44370;1
400652;511;0.791667;0.805556;44371;1
400653;511;0.541667;0.555556;44371;1
400654;511;0.291667;0.305556;44371;1
400655;511;0.291667;0.305556;44372;1
400656;511;0.541667;0.555556;44372;1
400657;511;0.791667;0.805556;44372;1
400658;511;0.625;0.631944;44373;1
400660;511;0.541667;0.555556;44373;1
400661;511;0.291667;0.305556;44373;1
400662;511;0.291667;0.305556;44375;1
400663;511;0.541667;0.555556;44375;1
400664;511;0.791667;0.805556;44375;1
400665;511;0.791667;0.805556;44376;1
400666;511;0.541667;0.555556;44376;1
400667;511;0.291667;0.305556;44376;1
400668;511;0.291667;0.305556;44377;1
400669;511;0.541667;0.555556;44377;1
400670;511;0.791667;0.805556;44377;1
400768;511;0.833333;0.840278;44363;1
400769;511;0.784722;0.791667;44363;1
400770;511;0.701389;0.708333;44363;1
400771;511;0.618056;0.625;44363;1
400772;511;0.534722;0.541667;44363;1
400773;511;0.451389;0.458333;44363;1
400774;511;0.368056;0.375;44363;1
400775;511;0.284722;0.291667;44363;1
400776;511;0.284722;0.291667;44364;1
400777;511;0.368056;0.375;44364;1
400778;511;0.451389;0.458333;44364;1
400779;511;0.534722;0.541667;44364;1
400780;511;0.618056;0.625;44364;1
400781;511;0.701389;0.708333;44364;1
400782;511;0.784722;0.791667;44364;1
400783;511;0.833333;0.840278;44364;1
400784;511;0.284722;0.291667;44365;1
400785;511;0.368056;0.375;44365;1
400786;511;0.451389;0.458333;44365;1
400787;511;0.534722;0.541667;44365;1
400788;511;0.618056;0.625;44365;1
400789;511;0.701389;0.708333;44365;1
400790;511;0.784722;0.791667;44365;1
400791;511;0.833333;0.840278;44365;1
400792;511;0.618056;0.625;44366;1
400793;511;0.534722;0.541667;44366;1
400794;511;0.451389;0.458333;44366;1
400795;511;0.368056;0.375;44366;1
400796;511;0.284722;0.291667;44366;1
400799;437;0.458333;0.479167;44363;0
400809;173;0.75;0.767361;44365;1
400824;511;0.284722;0.291667;44368;1
400826;511;0.368056;0.375;44368;1
400828;511;0.451389;0.458333;44368;1
400830;511;0.534722;0.541667;44368;1
400831;511;0.618056;0.625;44368;1
400832;511;0.701389;0.708333;44368;1
400833;511;0.784722;0.791667;44368;1
400834;511;0.833333;0.840278;44368;1
400835;511;0.284722;0.291667;44369;1
400836;511;0.368056;0.375;44369;1
400837;511;0.451389;0.458333;44369;1
400839;61;0.333333;0.375;44370;1
400861;437;0.333333;0.353472;44365;1
400877;300;0.375;0.395833;44375;1
400882;504;0.416667;0.434028;44363;1
400883;511;0.534722;0.541667;44369;1
400884;511;0.618056;0.625;44369;1
400885;511;0.701389;0.708333;44369;1
