DCODE;WORKDATE;BHOUR;BMIN;FHOUR;FMIN
10001451;2021-06-21 00:00:00.000;11;0;11;30
10001590;2021-06-19 00:00:00.000;12;0;12;30
10001605;2021-06-22 00:00:00.000;10;0;10;30
10001687;2021-07-01 00:00:00.000;15;0;15;30
10000629;2021-06-17 00:00:00.000;11;0;13;0
10000629;2021-06-17 00:00:00.000;13;30;14;0
10000629;2021-06-17 00:00:00.000;15;30;18;30
10000629;2021-06-17 00:00:00.000;18;30;19;0
10000633;2021-06-17 00:00:00.000;16;0;17;0
10000245;2021-06-17 00:00:00.000;16;0;19;0
10001713;2021-06-17 00:00:00.000;16;0;17;0
10000143;2021-06-17 00:00:00.000;16;30;17;0
10001772;2021-06-17 00:00:00.000;16;0;17;0
10000629;2021-06-18 00:00:00.000;9;0;10;0
10000629;2021-06-18 00:00:00.000;11;30;13;0
10000629;2021-06-18 00:00:00.000;15;30;17;0
10000633;2021-06-18 00:00:00.000;9;0;11;0
10001524;2021-06-17 00:00:00.000;10;0;12;0
10001524;2021-06-19 00:00:00.000;10;0;12;0
10001524;2021-06-21 00:00:00.000;10;0;12;0
10001524;2021-06-22 00:00:00.000;10;0;12;0
10001524;2021-06-23 00:00:00.000;10;0;12;0
10001524;2021-06-24 00:00:00.000;10;0;12;0
10001524;2021-06-25 00:00:00.000;10;0;12;0
10001524;2021-06-28 00:00:00.000;10;0;12;0
10001524;2021-06-29 00:00:00.000;10;0;12;0
10001524;2021-06-30 00:00:00.000;10;0;12;0
10000721;2021-06-24 00:00:00.000;18;0;18;30
10001524;2021-06-18 00:00:00.000;10;0;12;0
10000021;2021-06-17 00:00:00.000;12;0;12;30
10001588;2021-06-17 00:00:00.000;17;30;18;0
10000380;2021-06-19 00:00:00.000;11;0;11;30
10000308;2021-06-18 00:00:00.000;14;0;14;50
10000054;2021-06-17 00:00:00.000;18;45;19;30
10000185;2021-06-22 00:00:00.000;18;30;19;0
10000321;2021-06-17 00:00:00.000;17;0;17;30
10000054;2021-06-17 00:00:00.000;18;30;18;40
10000054;2021-06-29 00:00:00.000;10;30;11;0
10000252;2021-06-18 00:00:00.000;15;0;16;0
10000292;2021-06-28 00:00:00.000;8;20;9;0
-1;2021-06-30 00:00:00.000;16;0;16;20
-1;2021-06-30 00:00:00.000;16;20;16;40
-1;2021-06-30 00:00:00.000;16;40;17;0
10000252;2021-06-17 00:00:00.000;10;30;11;0
10001638;2021-06-17 00:00:00.000;13;30;14;0
10000380;2021-06-26 00:00:00.000;9;0;9;30
10000252;2021-06-17 00:00:00.000;11;30;12;0
10001521;2021-06-17 00:00:00.000;10;0;10;30
10001521;2021-06-18 00:00:00.000;10;0;10;30
10001521;2021-06-19 00:00:00.000;10;0;10;30
10000054;2021-06-21 00:00:00.000;19;30;20;15
10000021;2021-06-17 00:00:00.000;9;0;9;30
10000021;2021-06-18 00:00:00.000;9;0;9;30
10000721;2021-06-17 00:00:00.000;18;0;18;30
10001731;2021-06-17 00:00:00.000;15;10;15;30
10000054;2021-06-22 00:00:00.000;12;30;13;15
10001544;2021-06-17 00:00:00.000;17;30;18;0
10001590;2021-06-17 00:00:00.000;9;0;9;30
10000672;2021-06-28 00:00:00.000;17;30;18;0
10001544;2021-06-17 00:00:00.000;18;0;18;30
10000321;2021-06-17 00:00:00.000;19;30;20;0
-1;2021-06-17 00:00:00.000;12;0;12;30
10000021;2021-06-17 00:00:00.000;12;30;13;0
10000321;2021-06-18 00:00:00.000;20;30;21;0
10001731;2021-06-18 00:00:00.000;20;50;21;0
-1;2021-06-18 00:00:00.000;20;0;20;30
10000321;2021-06-22 00:00:00.000;20;30;21;0
10001731;2021-06-22 00:00:00.000;20;50;21;0
-1;2021-06-22 00:00:00.000;20;0;20;30
10000321;2021-06-23 00:00:00.000;20;30;21;0
10001731;2021-06-23 00:00:00.000;20;50;21;0
-1;2021-06-23 00:00:00.000;20;0;20;30
10000021;2021-06-24 00:00:00.000;12;0;12;30
-1;2021-06-24 00:00:00.000;12;30;13;0
10001464;2021-06-24 00:00:00.000;19;0;19;30
10000721;2021-06-17 00:00:00.000;18;30;19;0
10001699;2021-06-19 00:00:00.000;12;0;12;30
-1;2021-06-17 00:00:00.000;13;20;13;40
10001544;2021-06-17 00:00:00.000;19;30;20;0
10000280;2021-06-23 00:00:00.000;18;0;18;30
10001590;2021-06-23 00:00:00.000;18;30;19;0
10001702;2021-06-23 00:00:00.000;19;0;19;30
10000591;2021-06-17 00:00:00.000;15;0;16;0
10001700;2021-06-18 00:00:00.000;9;0;9;30
10000054;2021-06-22 00:00:00.000;13;15;14;0
10000220;2021-06-28 00:00:00.000;19;0;19;30
10001687;2021-07-02 00:00:00.000;17;0;17;30
10001570;2021-06-22 00:00:00.000;15;0;15;30
10001638;2021-06-19 00:00:00.000;9;0;9;30
10000303;2021-06-18 00:00:00.000;15;0;15;30
10001570;2021-06-22 00:00:00.000;18;0;18;30
10000083;2021-06-28 00:00:00.000;19;30;20;0
10000252;2021-06-17 00:00:00.000;11;0;11;15
10000280;2021-06-19 00:00:00.000;10;0;10;30
10000672;2021-06-25 00:00:00.000;14;0;14;30
10000252;2021-06-17 00:00:00.000;15;30;16;0
10001521;2021-06-17 00:00:00.000;14;30;15;0
10001521;2021-06-18 00:00:00.000;14;30;15;0
10001605;2021-06-18 00:00:00.000;15;0;15;30
10001570;2021-06-19 00:00:00.000;12;0;12;30
10000252;2021-06-18 00:00:00.000;14;30;15;0
10001642;2021-06-19 00:00:00.000;10;30;11;0
10001681;2021-06-19 00:00:00.000;11;0;11;30
10001418;2021-06-21 00:00:00.000;18;30;19;0
10001637;2021-06-21 00:00:00.000;9;0;9;30
10000252;2021-06-18 00:00:00.000;10;0;10;30
10000054;2021-06-17 00:00:00.000;19;30;20;15
10000292;2021-06-17 00:00:00.000;10;20;11;0
10000054;2021-06-21 00:00:00.000;18;0;18;45
10001642;2021-06-22 00:00:00.000;13;30;14;0
10001418;2021-06-18 00:00:00.000;10;0;10;30
10001773;2021-06-28 00:00:00.000;8;0;8;30
10001731;2021-06-22 00:00:00.000;14;30;14;50
10001418;2021-06-17 00:00:00.000;9;0;9;30
10000185;2021-06-24 00:00:00.000;18;30;19;0
10000021;2021-06-17 00:00:00.000;8;30;9;0
10000021;2021-06-18 00:00:00.000;8;30;9;0
-1;2021-06-17 00:00:00.000;9;0;9;30
-1;2021-06-18 00:00:00.000;9;0;9;30
10000421;2021-06-22 00:00:00.000;15;0;21;0
10000421;2021-06-24 00:00:00.000;15;0;21;0
10000421;2021-06-25 00:00:00.000;15;0;21;0
10000421;2021-06-21 00:00:00.000;15;0;21;0
10000421;2021-06-23 00:00:00.000;15;0;21;0
10000421;2021-06-26 00:00:00.000;10;0;16;0
10001590;2021-06-18 00:00:00.000;11;0;11;30
10001773;2021-06-18 00:00:00.000;11;30;12;0
10000308;2021-06-18 00:00:00.000;14;50;14;55
10001590;2021-06-17 00:00:00.000;8;0;8;30
10001702;2021-06-17 00:00:00.000;8;30;9;0
10000171;2021-06-19 00:00:00.000;10;0;10;30
10001464;2021-06-17 00:00:00.000;18;30;19;0
10001464;2021-06-21 00:00:00.000;18;30;19;0
10000252;2021-06-18 00:00:00.000;10;30;11;0
10000213;2021-06-23 00:00:00.000;15;30;16;0
10001773;2021-06-21 00:00:00.000;9;0;17;0
10000421;2021-06-29 00:00:00.000;20;0;20;30
10001642;2021-06-17 00:00:00.000;15;0;15;30
10001464;2021-06-17 00:00:00.000;15;0;15;30
-1;2021-06-28 00:00:00.000;8;0;8;10
10000054;2021-06-21 00:00:00.000;18;45;19;30
10000171;2021-06-23 00:00:00.000;16;0;16;30
10000252;2021-06-17 00:00:00.000;12;30;13;0
10001638;2021-06-17 00:00:00.000;12;0;12;30
10001642;2021-06-17 00:00:00.000;16;30;17;0
10000721;2021-06-24 00:00:00.000;15;30;16;0
10000054;2021-06-17 00:00:00.000;15;45;16;30
10000654;2021-06-22 00:00:00.000;16;0;16;30
10000721;2021-06-17 00:00:00.000;15;30;16;10
10000292;2021-06-17 00:00:00.000;15;0;15;20
10000591;2021-06-17 00:00:00.000;16;0;17;0
10000721;2021-06-17 00:00:00.000;17;10;17;40
10001698;2021-06-22 00:00:00.000;17;30;18;0
10001668;2021-06-17 00:00:00.000;8;0;8;20
10001668;2021-06-17 00:00:00.000;8;20;8;40
10001668;2021-06-17 00:00:00.000;8;40;9;0
10001521;2021-06-17 00:00:00.000;10;30;11;0
10001668;2021-06-17 00:00:00.000;9;0;9;20
10001605;2021-06-25 00:00:00.000;15;0;15;30
10000083;2021-06-28 00:00:00.000;17;30;18;0
10001544;2021-06-21 00:00:00.000;17;0;17;30
10001749;2021-06-18 00:00:00.000;18;20;19;20
10001749;2021-06-18 00:00:00.000;19;20;20;20
10000672;2021-06-28 00:00:00.000;15;0;15;30
10001464;2021-06-17 00:00:00.000;18;0;18;30
10000321;2021-06-18 00:00:00.000;18;0;18;30
10001521;2021-06-19 00:00:00.000;12;0;12;30
10001464;2021-06-21 00:00:00.000;18;0;18;30
10001464;2021-06-24 00:00:00.000;18;0;18;30
10000054;2021-06-17 00:00:00.000;20;15;21;0
10001544;2021-06-17 00:00:00.000;20;0;20;30
10001464;2021-06-18 00:00:00.000;10;0;10;30
10000252;2021-06-17 00:00:00.000;15;0;15;30
